date,customer_id,amount
2023-04-13,1,49
2023-05-13,1,19
2024-03-11,2,19
2024-04-11,2,29
2024-05-11,2,19
2024-06-11,2,49
2024-07-11,2,29
2024-08-11,2,19
2024-09-11,2,99
2024-10-11,2,29
2024-11-11,2,19
2023-09-28,3,19
2023-10-28,3,49
2023-11-28,3,49
2023-12-28,3,99
2024-01-28,3,29
2024-02-28,3,29
2024-03-28,3,49
2023-04-17,4,29
2023-05-17,4,29
2023-06-17,4,49
2023-07-17,4,19
2023-08-17,4,19
2023-09-17,4,19
2023-10-17,4,99
2023-11-17,4,99
2023-03-13,5,49
2023-04-13,5,19
2023-05-13,5,49
2023-06-13,5,19
2023-07-13,5,29
2023-08-13,5,19
2023-09-13,5,49
2023-10-13,5,19
2023-11-13,5,29
2023-12-13,5,19
2024-01-13,5,49
2024-02-13,5,49
2024-03-13,5,19
2024-04-13,5,49
2024-05-13,5,29
2024-06-13,5,19
2024-12-01,6,29
2025-01-01,6,19
2025-02-01,6,29
2025-03-01,6,49
2025-04-01,6,29
2025-05-01,6,19
2025-06-01,6,19
2025-07-01,6,29
2025-08-01,6,19
2025-09-01,6,19
2025-10-01,6,29
2025-11-01,6,29
2025-12-01,6,49
2026-01-01,6,19
2026-02-01,6,49
2026-03-01,6,19
2023-01-21,7,49
2024-09-06,8,19
2024-10-06,8,29
2024-11-06,8,29
2024-12-06,8,19
2025-01-06,8,49
2025-02-06,8,29
2025-03-06,8,19
2025-04-06,8,19
2025-05-06,8,19
2023-05-02,9,19
2023-06-02,9,19
2023-07-02,9,29
2023-08-02,9,19
2023-09-02,9,19
2023-10-02,9,19
2023-11-02,9,29
2023-12-02,9,29
2024-01-02,9,19
2024-02-02,9,29
2024-03-02,9,99
2024-04-11,10,19
2024-05-11,10,19
2024-06-11,10,29
2024-07-11,10,19
2023-08-03,11,19
2023-09-03,11,29
2023-11-27,12,29
2023-12-27,12,49
2024-01-27,12,19
2024-02-27,12,29
2024-03-27,12,19
2024-04-27,12,49
2024-04-03,13,29
2024-05-03,13,49
2024-06-03,13,29
2024-07-03,13,19
2024-08-03,13,49
2024-09-03,13,29
2024-10-03,13,19
2024-11-03,13,19
2024-12-03,13,19
2025-01-03,13,29
2025-02-03,13,19
2025-03-03,13,19
2025-04-03,13,19
2025-05-03,13,29
2025-06-03,13,49
2023-03-29,14,19
2023-04-29,14,49
2023-05-29,14,29
2023-06-29,14,99
2023-07-29,14,19
2023-08-29,14,29
2023-09-29,14,19
2023-10-29,14,19
2023-11-29,14,19
2023-12-29,14,99
2024-01-29,14,49
2024-02-29,14,49
2024-03-29,14,29
2024-04-29,14,19
2024-01-08,15,29
2024-02-08,15,29
2024-03-08,15,19
2024-04-08,15,49
2024-05-08,15,19
2024-06-08,15,19
2024-07-08,15,29
2024-08-08,15,29
2024-09-08,15,29
2024-10-08,15,19
2024-11-08,15,49
2024-12-08,15,29
2023-04-10,16,19
2023-05-10,16,49
2024-10-25,17,49
2024-11-25,17,19
2024-12-25,17,19
2025-01-25,17,29
2025-02-25,17,99
2023-05-11,18,29
2023-06-11,18,29
2023-07-11,18,19
2023-08-11,18,19
2023-09-11,18,19
2023-10-11,18,19
2023-11-11,18,49
2023-12-11,18,49
2024-01-11,18,19
2024-02-11,18,49
2024-03-11,18,19
2024-10-23,19,19
2024-11-23,19,49
2024-12-23,19,49
2025-01-23,19,19
2025-02-23,19,29
2025-03-23,19,19
2025-04-23,19,29
2025-05-23,19,29
2025-06-23,19,19
2025-07-23,19,29
2025-08-23,19,19
2025-09-23,19,19
2023-11-05,20,49
2023-12-05,20,19
2023-12-10,21,19
2024-01-10,21,19
2024-02-10,21,19
2024-03-10,21,29
2024-04-10,21,19
2024-05-10,21,19
2024-06-10,21,99
2024-07-10,21,19
2024-08-10,21,49
2024-09-10,21,49
2024-10-10,21,19
2024-11-10,21,19
2024-05-06,22,19
2024-06-06,22,19
2024-07-06,22,99
2024-08-06,22,19
2024-09-06,22,29
2024-02-18,23,99
2024-01-21,24,19
2024-02-21,24,19
2024-03-21,24,49
2024-04-21,24,29
2024-05-21,24,99
2024-06-21,24,29
2024-07-21,24,19
2024-08-21,24,99
2024-09-21,24,19
2024-10-21,24,19
2024-11-21,24,29
2024-12-21,24,19
2023-07-11,25,49
2023-08-11,25,29
2023-09-11,25,19
2023-10-11,25,99
2023-11-11,25,19
2023-12-11,25,19
2024-01-11,25,29
2024-02-11,25,29
2024-03-11,25,19
2024-04-11,25,49
2023-10-04,26,49
2023-11-04,26,19
2023-12-04,26,19
2024-01-04,26,19
2024-02-04,26,29
2024-03-04,26,19
2024-04-04,26,99
2023-06-10,27,19
2023-07-10,27,29
2023-08-10,27,99
2023-09-10,27,29
2023-10-10,27,19
2023-11-10,27,19
2023-12-10,27,49
2024-01-10,27,29
2024-02-10,27,29
2024-03-10,27,49
2024-04-10,27,49
2024-05-10,27,99
2024-04-04,28,19
